Funnel,Distinct ID,Time to First Copy
Time to First Copy,0E5940B3-3F3C-4D0C-BC30-1D9E0DEE0172,0
Time to First Copy,540265328320065536,0
Time to First Copy,8B0A3FD1-B31A-48CD-B234-D1470F384F17,0
Time to First Copy,540051733141708800,0
Time to First Copy,FC8B87A3-6EF6-4C81-968B-D028E0B9BB39,0
Time to First Copy,05127b66-f8a1-4438-92d3-d6711c239464,0
Time to First Copy,32758F24-BBCA-46FF-A438-E42DDF69711F,0
Time to First Copy,F067FE30-95D2-49FB-ADFE-DD9881C9DF5D,0
Time to First Copy,0F13EE4B-C639-4956-8E34-E276AB2B45E5,0
Time to First Copy,8A9D7922-D719-44EE-B2AE-80B87C3D5129,0
Time to First Copy,B3D3F688-52D4-423A-AC4E-ED68A2F40020,0
Time to First Copy,c70e0666-ad25-483e-bf38-2068660c5259,0
Time to First Copy,427F7405-6E4A-4FA1-9D88-6C2931F4E13A,0
Time to First Copy,EA72DB37-7E56-47D9-ACA8-3055518669D5,0
Time to First Copy,C3459A9D-D2C8-47E2-9480-4107F71A68CA,0
Time to First Copy,540107407535779840,0
Time to First Copy,0B90CFED-AA7E-455A-B10C-924713CB6AD5,0
Time to First Copy,681A5A5F-CC82-460C-B8CA-8AAEECFAA597,0
Time to First Copy,CB9EC1BB-A29D-4C52-AB95-C6AEB929AF5D,0
Time to First Copy,E8AF7B07-B309-4B93-B501-BEAEFCD8C2A9,0
Time to First Copy,540319464642195456,0
Time to First Copy,540174846638612480,0
Time to First Copy,49f99ad3-02cf-411e-ae92-2f5a6ab93b15,0
Time to First Copy,444FFFAD-1DBD-4D03-A5EF-191173232242,0
Time to First Copy,175a2981-dfed-4629-997f-03c97ec7eec8,0
Time to First Copy,9786B6D6-F6A2-4F2C-9A35-C8D866FC867A,0
Time to First Copy,4889BD33-B1EF-4671-9E2C-1606441DEB8F,0
Time to First Copy,8590EF21-4097-4842-8F5E-A125AF6C1033,0
Time to First Copy,97D52146-D2E3-41F9-BA54-B75ADCC6E491,0
Time to First Copy,79BEEC3D-C00E-4C0E-BB8D-0DAE36000027,0
Time to First Copy,14BC4626-DEAB-483D-8481-BACE237B8CD4,0
Time to First Copy,2B4EAB98-4F9A-4553-AC50-F1135A97FD8D,0
Time to First Copy,3A0EB62E-FE19-474B-A6B9-90E504CEC8BE,0
Time to First Copy,F144CF87-9FD0-4693-98A9-134F70EB3D1D,0
Time to First Copy,9246309A-A4DD-47F0-9147-7D019367129D,0
Time to First Copy,58537AB3-3C3F-4A74-8E31-EF0B765C518A,0
Time to First Copy,7f2d6eaf-b38e-4b15-9086-210198471973,0
Time to First Copy,213beeca-656f-46df-a173-2038cd7f4d38,0
Time to First Copy,0520B87D-6168-4B62-ADC8-2520C5C1A321,0
Time to First Copy,3DD61FA3-96CB-4D8B-9BE2-10FD173A9746,0
Time to First Copy,5B44668B-DE2F-486A-A776-40356A113D88,0
Time to First Copy,DC98187F-4CBF-4D15-BA18-DD9CB89FA660,0
Time to First Copy,32E150F3-2771-4384-9E09-236E8A4E95B7,0
Time to First Copy,45FB53AC-8F59-4326-B7DA-7C2FF64DAADC,0
Time to First Copy,8A34375D-CEEF-44B4-8F92-EAE6E5504F62,0
Time to First Copy,30E4809D-C5D9-420A-9E45-E52191B9DD5B,0
Time to First Copy,540587955975020544,0
Time to First Copy,8416B5B7-FE3E-4011-B133-3A21C8F27282,0
Time to First Copy,dc6ed4cb-70bc-4a9c-ba16-46da2f8f875a,0
Time to First Copy,7519DDDF-BA4A-4408-B030-1EBB47A2C0C3,0
Time to First Copy,8BD8C10E-072E-4BAE-87C8-36DC6F1BA7DB,0
Time to First Copy,5B603488-46D1-42B2-B246-535B55C51C9F,0
Time to First Copy,2745E9D3-0A75-4621-9A75-4FCB765CDC2B,0
Time to First Copy,A4714DAD-7C76-49D4-8E3E-2C3610838BE9,0
Time to First Copy,10e24b3a-d565-4694-ba1f-3ee0e4ec1c73,0
Time to First Copy,C3D579C2-1565-49EA-BD15-AA0B93D5A6CD,0
Time to First Copy,5BF3383F-8E54-4E18-822D-DF267F7BC940,0
Time to First Copy,539538768554549248,0
Time to First Copy,02C76DC1-BBAB-4E0E-AB17-9BE53311A41B,0
Time to First Copy,688E43EB-D27B-4FD4-9B13-B029E8B88A85,0
Time to First Copy,EC1AA8FD-2A8F-4982-9E70-61267E45C022,0
Time to First Copy,DFBC3D61-A3BC-425F-B16E-0CF90C3A1D5A,0
Time to First Copy,C99C791F-83EB-47FE-A362-573B36CCAEBB,0
Time to First Copy,6a101271-014b-4550-90ce-c08d1439beab,0
Time to First Copy,CA61254F-2036-4215-B7B3-FF8962D75305,0
Time to First Copy,C93FF52C-B1F5-44D1-83B3-776A753E479E,0
Time to First Copy,C91D61EB-E224-4A47-8AD1-38CA61A050ED,0
Time to First Copy,BF50F31A-AED2-4BB1-8528-6EAF739FE03A,0
Time to First Copy,824064b2-a55f-4b15-84f5-a3a91ec8a3d2,0
Time to First Copy,BE4CA364-2243-44CB-BBD1-99A42FC50BDD,0
Time to First Copy,5285312d-2493-46ea-8519-f56c6925144c,0
Time to First Copy,993693A2-AB80-48CE-9B74-7037D8A2E3DF,0
Time to First Copy,C08B1CAF-B396-48FB-8CC0-08448302DFA3,0
Time to First Copy,E0F44359-FBD3-49E0-9F3D-2DBD38E0CF4A,0
Time to First Copy,8DA3DD4F-4D24-441B-A389-B9F8BB8A41FC,0
Time to First Copy,23F9BAD7-AF14-4A34-B00C-45758B0DB767,0
Time to First Copy,538709358757560320,0
Time to First Copy,935D06D4-47F3-4E69-9C80-A951EC248555,0
Time to First Copy,99C95C79-6020-4C5C-8B4E-3D24E1DF3A33,0
Time to First Copy,EE4A1511-723F-4549-83D9-FF49D0C864E1,0
Time to First Copy,008ED9D8-C2B7-485C-8EBD-9867A554F9F3,0
Time to First Copy,0AB760DA-2EDB-432A-BB83-3871424F281C,0
Time to First Copy,d9c28aa1-b628-4198-91fe-0968da89e73d,0
Time to First Copy,77d74fe6-c1e5-4d68-bfff-f887df007735,0
Time to First Copy,214F383B-692E-4254-9B7A-C6D4287EB3A4,0
Time to First Copy,4D1A6FED-6799-42FD-847B-9A024A295A92,0
Time to First Copy,659a0502-9f04-4ba3-afcb-aef5f585f71b,0
Time to First Copy,589c3eab-28dc-4894-8cf0-fc38faf97822,0
Time to First Copy,487949388551569408,0
Time to First Copy,134fbd6a-101c-47cd-94e9-b24a706c539f,0
Time to First Copy,538732127767511040,0
Time to First Copy,36481852-5D1A-4FDD-B617-6ACA9272AE7D,0
Time to First Copy,815c9ce5-2a6e-4b22-aa45-fb7a801c3013,0
Time to First Copy,86EF1331-8C89-403C-9126-2F4E9CD4BCAA,0
Time to First Copy,C8EE853F-2E15-4F43-84D8-4D234D66D8FD,0
Time to First Copy,68527D91-F0A8-4FA1-95E8-01A2927EAF39,0
Time to First Copy,3194797C-CCFC-43F0-8857-551A9BA35D60,0
Time to First Copy,540581320615452672,0
Time to First Copy,62170686-80D4-4B7B-96D7-AAC6F6B35AB9,0
Time to First Copy,DD3C0306-066F-4F31-853D-26DDBF7DD417,0
Time to First Copy,30A64CD9-2CE1-4B63-8D0B-C425FC0C28F3,0
Time to First Copy,7BF7FE37-4FF4-4E62-B36C-271BDD2F36F9,0
Time to First Copy,7B084FB5-2412-4D2A-B5D8-5F148D0AAFB6,0
Time to First Copy,40CCEC94-0366-4FE7-8A8C-99ACDCAAE3F7,0
Time to First Copy,D815230A-7A20-4332-A391-A823A96DC327,0
Time to First Copy,540441429244043264,0
Time to First Copy,766980EE-629E-4514-803C-5F0210439ACD,0
Time to First Copy,72A6BF78-49EE-4DD8-80F7-DB962C0178F3,0
Time to First Copy,1A05053B-3B85-49C0-B6E8-9AD34618EABA,0
Time to First Copy,A0B0250C-EAA7-4BF8-AB0D-2FA3ED0A0557,0
Time to First Copy,F3F639F0-5090-467B-AA5D-A1D6D5E7B21D,0
Time to First Copy,F477DBBE-7C3F-405B-969B-9E8330528F41,0
Time to First Copy,9FE1E7E5-1512-4C09-BDBC-92317B34DD0C,0
