Funnel,$distinct_id,Time to Linked Bank
Time to Linked Bank,$device:134fbd6a-101c-47cd-94e9-b24a706c539f,0.045625
Time to Linked Bank,$device:C59B9620-AD85-4654-8DB5-2E1D27C489AC,
Time to Linked Bank,540441429244043264,
Time to Linked Bank,$device:E0F44359-FBD3-49E0-9F3D-2DBD38E0CF4A,
Time to Linked Bank,$device:8DA3DD4F-4D24-441B-A389-B9F8BB8A41FC,
Time to Linked Bank,540725110563069952,
Time to Linked Bank,$device:9A397125-37E3-47CE-B3AA-B1C73DB3AF7A,
Time to Linked Bank,$device:8BA8F4ED-4106-4367-B807-6694DC75535E,0.016909722222222222
Time to Linked Bank,$device:AAD56621-F723-46AC-8CAD-9F43DC68C02F,
Time to Linked Bank,$device:A6ECC867-0294-4285-9E0E-D3B56D480CAE,
Time to Linked Bank,$device:E5586B4E-7937-4306-BF82-F79EB4AF7123,
Time to Linked Bank,$device:CFFCB92C-8A27-43D8-8E27-EEE98884F507,
Time to Linked Bank,$device:e07bbe91-87b3-488d-946f-8fbc4fb18394,
Time to Linked Bank,$device:DE6D0758-3C70-4632-9648-5F4AB0EBC09F,
Time to Linked Bank,$device:107AF8C2-AA0B-44FA-99C4-49F18161AAB6,0.005740740740740741
Time to Linked Bank,$device:2D2B1779-5067-4FBC-8A02-E7DFC641FD4A,
Time to Linked Bank,$device:0A8EFDC2-6EB7-40D3-8B84-187ED897874D,
Time to Linked Bank,$device:2DEFE170-ADE2-4397-9ADF-37A02E9D79A1,
Time to Linked Bank,$device:4a155ad8-7eb4-4364-ba1f-11592e907a63,1.0377430555555556
Time to Linked Bank,$device:8E58C655-4F8D-428B-9177-BA77E015E1A8,
Time to Linked Bank,540904761251737600,
Time to Linked Bank,540913511060922368,
Time to Linked Bank,540541272390033408,
Time to Linked Bank,$device:3DDFE8DA-C70E-4602-BE7D-981EBE5E224A,
Time to Linked Bank,$device:0ff53917-052e-4464-9023-5bbe7d2d4256,
Time to Linked Bank,$device:E89682B8-E8A9-4E2E-910F-D82B996573CC,
Time to Linked Bank,$device:868dee5e-d9c4-4bef-90d0-f2607073076b,
Time to Linked Bank,540943990606409728,
Time to Linked Bank,$device:F400702F-4969-453D-A684-EBEF571EA15E,
Time to Linked Bank,$device:3FE3B04B-D462-4263-A15D-05B4EE3D8F49,
Time to Linked Bank,$device:29229A29-1003-411D-AB15-2B58D9EB35B4,
Time to Linked Bank,$device:F404706C-2179-4C39-ADED-A78BCBA0641A,
Time to Linked Bank,$device:c5159476-021d-4764-93a7-ba0c94edb473,
Time to Linked Bank,$device:55004cc4-4fc9-404f-8398-85c432f94754,
Time to Linked Bank,$device:EEB3F002-3F6E-496A-B93F-78256BA4D5A3,0.723900462962963
